domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Computer Science,Internet of Things,Interfacing with the Raspberry Pi,"University of California, Irvine",Ian Harris,2,"
        ",218,"python,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Internet of Things,Internet of Things: Multimedia Technologies,"University of California, San Diego ",Harinath Garudadri and Ganz Chockalingam,0,"
        ",269,"internet of things,media,iot,codecs,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Artificial Intelligence,Building Conversational Experiences with Dialogflow,Google Cloud,Google Cloud Training,0,"
        ",46,"google cloud,chatbot",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,DevOps,Elastic Cloud Infrastructure: Containers and Services en Français,Google Cloud,Google Cloud Training,0,"
        ",30,"cloud computing,containers",,2019-03-11,Upcoming,French,"
              Paid Certificate Available
            ",1 weeks long
Social Sciences,Psychology,Психология признания и самозанятости,Tomsk State University,Олег Лукьянов (Oleg Lukyanov) and Анастасия Стайпек (Anastasia Stipek),0,"
        ",14,"psychology,reputatation,recognition",Free Online Course (Audit),2019-03-11,Upcoming,Russian,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Machine Learning,How Google does Machine Learning 日本語版,Google Cloud,Google Cloud Training,0,"
        ",65,"machine learning,google cloud",Free Online Course (Audit),2019-03-11,Upcoming,Japanese,"
              Paid Certificate Available
            ",1 weeks long
Computer Science,Machine Learning,Production Machine Learning Systems,Google Cloud,Google Cloud Training,0,"
        ",100,"machine learning,google cloud",,2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Data Science,Data Science,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Rice University,Sharad Borle,0,"
        ",73,"usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Data Science,Data Analysis,Social Media Data Analytics,Rutgers University,Chirag Shah,1,"
        ",235,"usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Mathematics,Mathematics,Математика для всех,Moscow Institute of Physics and Technology,Савватеев Алексей Владимирович and Бычков Борис Сергеевич,0,"
        ",22,,Free Online Course (Audit),2019-04-01,Upcoming,Russian,"
              Paid Certificate Available
            ",6 weeks long
Social Sciences,Law,知识产权法律及实务|Big Data and Intellectual Property Law and Practice,Tsinghua University,Juan He,0,"
        ",16,intellectual property,Free Online Course (Audit),2019-03-15,Upcoming,Chinese,"
              $99 Certificate Available
            ",16 weeks long
Social Sciences,Economics,Economic Growth and Distributive Justice Part I -The Role of the State,Tel Aviv University,Professor Yoram  Y. Margalioth,2,"
        ",542,"asia,economic growth,israel,distributive justice,inequality",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Artificial Intelligence,Обучение на размеченных данных,Moscow Institute of Physics and Technology,"Вадим Стрижов, Виктор Кантор, Евгений Рябенко, Евгений Соколов, Константин Воронцов and Эмели Драль",2,"
        ",26,"machine learning,algorithms,russia,data analysis",Free Online Course (Audit),2019-03-11,Upcoming,Russian,"
              Paid Certificate Available
            ",5 weeks long
Social Sciences,Sociology,Advertising and Society,Duke University,William O'Barr,6,"
        ",1252,"usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",7 weeks long
Computer Science,Computer Networking,TCP/IP and Advanced Topics,University of Colorado System,Xiaobo Zhou,0,"
        ",217,"computer networks,tcp ip,computer networks core",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Cybersecurity,Proactive Computer Security,University of Colorado System,Greg Williams,0,"
        ",152,"security,systems administration",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Cybersecurity,Detecting and Mitigating Cyber Threats and Attacks,University of Colorado System,Greg Williams,0,"
        ",149,"cybersecurity,cyber attacks,mitigation",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Computer Science,Fundamentals of Parallelism on Intel Architecture,Intel,Andrey Vladimirov,0,"
        ",37,"parallel computing,intel",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Internet of Things,Web Connectivity and Security in Embedded Systems,EIT Digital ,Juha Plosila and Farhoud Hosseinpour,0,"
        ",74,"europe,belgium",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Algorithms and Data Structures,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Stanford University,Tim Roughgarden,0,"
        ",218,"usa,north america,algorithms core",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Algorithms and Data Structures,Advanced Algorithms and Complexity,"University of California, San Diego ",Alexander S. Kulikov and Michael Levin,1,"
        ",176,"algorithms,russia,algorithm design,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Software Development,Managing an Agile Team,University of Virginia,Alex Cowan,1,"
        ",171,"project management,agile,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Artificial Intelligence,Practical Predictive Analytics: Models and Methods,University of Washington,Bill Howe,3,"
        ",201,"machine learning,statistics,predictive analytics,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Machine Learning,Machine Learning: Clustering & Retrieval,University of Washington,Carlos Guestrin and Emily Fox,4,"
        ",4291,"python,usa,north america,machine learning core",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Education & Teaching,Test Prep,AP® Physics 2 – Part 4: AP Review and Exam Preparation,Rice University,Reid Whitaker,0,"
        ",34,ricex,Free Online Course (Audit),2016-03-29,Self Paced,English,,3 weeks long
Computer Science,Software Development,Mastering the Software Engineering Interview,"University of California, San Diego ","Mia Minnes, Leo Porter and Christine Alvarado",3,"
        ",232,"job interview,programming interview questions,usa,north america",Free Online Course (Audit),2019-03-11,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Test Prep,AP® Environmental Science - Part 4: Exam Review,Rice University,Reid Whitaker,0,"
        ",20,ricex,Free Online Course (Audit),2016-03-29,Self Paced,English,,5 weeks long
Education & Teaching,Test Prep,AP® Physics 1 - Part 3: Electricity & Waves,Rice University,"Matt Wilson, Gigi Noe and Jason H. Hafner",1,"
        ",1581,ricex,Free Online Course (Audit),2016-02-23,Self Paced,English,,4 weeks long
Education & Teaching,Test Prep,AP® Biology - Part 4: Ecology,Rice University,Reid Whitaker,1,"
        ",77,ricex,Free Online Course (Audit),2016-02-23,Self Paced,English,,4 weeks long
Social Sciences,Economics,Local Economic Development,Erasmus University Rotterdam,"Ronald Wall, Georgina Gomez, Bert Helmsing , Jan Fransen and Peter Knorringa",0,"
        ",73,"economic development,local government",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",8 weeks long
Social Sciences,Sustainability,Business Model Innovation for Sustainable Landscape Restoration,Erasmus University Rotterdam,"Berglind Orradóttir, Steve Kennedy, Joris De Vente, Isabel C Barrio, Rob van Tulder and Simon W. Moolenaar",0,"
        ",,"innovation,business models,landscape planning",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",8 weeks long
Social Sciences,Human Rights,Cross-border road transport in EU law context,Erasmus University Rotterdam,"Zef Even , Ruben Houweling, Amber Zwanenburg, Michal Szypniewski, Mijke Houwerzijl, Bartłomiej Bednarowicz, Luca Ratti, Monika Tomaszewska and Herwig Verschueren",0,"
        ",27,"law,european union",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",7 weeks long
Computer Science,Cybersecurity,Cybersecurity Policy for Water and Electricity Infrastructures,University of Colorado System,Richard White,0,"
        ",60,"cybersecurity,homeland security",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Artificial Intelligence,Matrix Factorization and Advanced Techniques,University of Minnesota,Michael D. Ekstrand and Joseph A Konstan,0,"
        ",73,"usa,north america,math for ai core",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Algorithms and Data Structures,"Programming Languages, Part C",University of Washington,Dan  Grossman,2,"
        ",1435,"usa,north america,programming core,c core",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Internet of Things,Architecting Smart IoT Devices,EIT Digital ,Martin Timmerman,0,"
        ",113,"europe,belgium",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Cybersecurity,Cybersecurity and the X-Factor,University System of Georgia,"Dr. Humayun Zafar, Dr. Traci Carte, Herbert J. Mattord, Ph.D., CISM, CISSP, CDP and Mr. Andy Green",0,"
        ",119,"human behavior,information security,cybersecurity,x-factor,usa,north america",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Internet of Things,A developer's guide to the Internet of Things (IoT),IBM,Brian Innes and Yianna Papadakis Kantos,1,"
        ",406,python,Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Internet of Things,Electrones en Acción: Electrónica y Arduinos para tus propios Inventos,Pontificia Universidad Católica de Chile,Angel and Cristobal Alessandri,1,"
        ",38,"arduino,electronic circuits,chile,south america",Free Online Course (Audit),2019-03-18,Upcoming,Spanish,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Algorithms and Data Structures,Quantitative Formal Modeling and Worst-Case Performance Analysis,EIT Digital ,Dr.ir. Pieter Cuijpers,3,"
        ",57,"europe,embedded systems,quantitative formal modeling,performance analysis,belgium",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Internet of Things,Modeling and Debugging Embedded Systems,University of Colorado Boulder,David Sluiter,0,"
        ",56,embedded systems,Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,DevOps,Elastic Cloud Infrastructure: Containers and Services en Español,Google Cloud,Google Cloud Training,0,"
        ",33,"cloud computing,google cloud",,2019-03-18,Upcoming,Spanish,"
              Paid Certificate Available
            ",1 weeks long
Computer Science,DevOps,Elastic Cloud Infrastructure: Containers and Services auf Deutsch,Google Cloud,Google Cloud Training,0,"
        ",33,"cloud computing,containers,google cloud",,2019-03-18,Upcoming,German,"
              Paid Certificate Available
            ",1 weeks long
Education & Teaching,Education & Teaching,How to Teach High School Geometry,Teach For America,Kelly Boles and Dr. Janelle Scharon,0,"
        ",34,teachforamericax,Free Online Course (Audit),2016-10-10,Self Paced,English,,8 weeks long
Education & Teaching,Online Education,Design and Development of Games for Learning,Massachusetts Institute of Technology,"Paul Medlock-Walton, Jason Haas and Eric Klopfer",0,"
        ",187,"mitx,usa,north america",Free Online Course (Audit),2016-10-06,Self Paced,English,,9 weeks long
Education & Teaching,K12,Teaching Historical Inquiry with Objects,Smithsonian Institution,Naomi Coquillon and Kathleen Owings Swan,0,"
        ",66,smithsonianx,Free Online Course (Audit),2016-10-04,Self Paced,English,,4 weeks long
Education & Teaching,Education & Teaching,Practical Learning Analytics,University of Michigan,Tim McKay,0,"
        ",41,michiganx,Free Online Course (Audit),2016-10-04,Self Paced,English,,4 weeks long
Education & Teaching,Test Prep,AP Physics 1,Rice University,"Jason Hafner, Gigi  Nevils and Matt Wilson",0,"
        ",52,ricex,Free Online Course (Audit),2016-09-27,Self Paced,English,"
              $49 Certificate Available
            ",18 weeks long
Social Sciences,Economics,經濟學概論：誘因與市場（Introduction to Economics: Incentive and Markets）,National Taiwan University,林明仁 Ming-Jen Lin,0,"
        ",19,,Free Online Course (Audit),2019-03-25,Upcoming,Chinese,"
              Paid Certificate Available
            ",4 weeks long
Social Sciences,Psychology,"Bienestar, equidad y derechos humanos",Universidad de los Andes,"Elvia Vargas Trujillo - Departamento de Psicología, Marta Carolina Ibarra A. - Facultad de Educación and Ángela María Rojas Martínez - Departamento de Psicología",2,"
        ",26,,Free Online Course (Audit),2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",3 weeks long
Social Sciences,Economics,Теория игр,Moscow Institute of Physics and Technology,Дмитрий Ильинский,0,"
        ",13,russia,Free Online Course (Audit),2019-03-25,Upcoming,Russian,"
              Paid Certificate Available
            ",8 weeks long
Social Sciences,Economics,《MBA论文写作指导》,University of Science and Technology of China,丁斌,0,"
        ",,"china,asia",Free Online Course (Audit),2019-03-25,Upcoming,Chinese,"
              Paid Certificate Available
            ",12 weeks long
Social Sciences,Political Science,International Cyber Conflicts,State University of New York,Kevin Williams and Sanjay Goel,2,"
        ",566,"international politics,cybercrime,cyberwarfare,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Social Sciences,Economics,The Power of Markets II: Market Structure and Firm Behavior,University of Rochester,Mark Zupan,0,"
        ",70,"economics,nonprofits,competitive markets,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Social Sciences,Economics,The Power of Markets I: The Basics of Supply and Demand and Consumer Behavior,University of Rochester,Mark Zupan,1,"
        ",3200,"economics,supply and demand,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,DevOps,Elastic Cloud Infrastructure: Scaling and Automation auf Deutsch,Google Cloud,Google Cloud Training,0,"
        ",15,"cloud computing,google cloud",,2019-03-18,Upcoming,German,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,Blockchain and Cryptocurrency,Blockchain: Foundations and Use Cases,ConsenSys Academy,ConsenSys Academy,0,"
        ",187,blockchain,Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Artificial Intelligence,Sequence Models for Time Series and Natural Language Processing,Google Cloud,Google Cloud Training,0,"
        ",40,"artificial intelligence,natural language processing,nlp",,2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,Deep Learning,Recommendation Systems with TensorFlow on GCP,Google Cloud,Google Cloud Training,0,"
        ",,"google,recommender systems,tensorflow,google cloud",,2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Computer Science,Deep Learning,Image Understanding with TensorFlow on GCP,Google Cloud,Google Cloud Training,0,"
        ",40,"machine learning,deep learning,tensorflow,google cloud",,2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Education & Teaching,Education & Teaching,Introduction to Open Education,University of Texas Arlington,David Wiley and George Siemens,0,"
        ",19,utarlingtonx,Free Online Course (Audit),2017-10-01,Self Paced,English,,6 weeks long
Education & Teaching,Online Education,Introduction to Online and Blended Teaching,University of Pennsylvania,"Barbara (Bobbi) Kurshan ,  Donna Murdoch  and  Betty Chandy",1,"
        ",313,pennx,Free Online Course (Audit),2017-09-12,Self Paced,English,,6 weeks long
Social Sciences,Law,A Law Student's Toolkit,Yale University,Ian Ayres,4,"
        ",1139,"law school,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Social Sciences,Economics,Эконометрика (Econometrics),Higher School of Economics,Boris Demeshev,1,"
        ",31,russia,Free Online Course (Audit),2019-03-29,Upcoming,Russian,"
              Paid Certificate Available
            ",10 weeks long
Social Sciences,Political Science,Global Diplomacy – Diplomacy in the Modern World,University of London International Programmes,"Dr J. Simon Rofe, SOAS, University of London",4,"
        ",533,"politics,europe,uk,diplomat,global diplomacy,england",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Social Sciences,Economics,Microeconomics: The Power of Markets,University of Pennsylvania,Rebecca Stein,5,"
        ",809,"usa,north america",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Artificial Intelligence,Detección de objetos,Universitat Autònoma de Barcelona (Autonomous University of Barcelona),"Antonio López Peña, Ernest Valveny and Maria Vanrell",4,"
        ",37,"spain,europe",Free Online Course (Audit),2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",6 weeks long
Computer Science,Internet of Things,Introduction and Programming with IoT Boards,Pohang University of Science and Technology,Sung-Mo Jung  and James Won-Ki HONG,0,"
        ",117,"progamming,arduino,raspberry pi,iot",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Computer Science,Computer Networking,Intel® Network Academy - Network Transformation 101,Intel,Intel Network Academy,0,"
        ",77,"computer networks,sdn",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Computer Science,Machine Learning,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,National Taiwan University,"Hsuan-Tien Lin, 林軒田",0,"
        ",18,"machine learning,algorithms",Free Online Course (Audit),2019-03-25,Upcoming,Chinese,"
              Paid Certificate Available
            ",8 weeks long
Computer Science,Algorithms and Data Structures,Approximation Algorithms Part II,École normale supérieure,Claire Mathieu,0,"
        ",93,"algorithms,europe,approximation algorithms,linear programming,france,algorithms core",Free Online Course (Audit),2019-03-25,Upcoming,English,,4 weeks long
Computer Science,Software Development,Agile Planning for Software Products,University of Alberta,Kenny Wong,1,"
        ",201,"sdlc,agile,usa,north america,software design core",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Algorithms and Data Structures,Analysis of Algorithms,Princeton University,Robert Sedgewick,4,"
        ",3438,"algorithms,usa,north america,algorithms core",Free Online Course (Audit),2019-03-25,Upcoming,English,,9 weeks long
Computer Science,Algorithms and Data Structures,Solving Algorithms for Discrete Optimization,University of Melbourne,Prof. Jimmy Ho Man Lee and Prof. Peter James Stuckey,0,"
        ",78,"algorithms,discrete opitimization,algorithms core",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Computer Science,Machine Learning,Advanced Machine Learning,The Open University,Michael Ashcroft,0,"
        ",30,"data science,machine learning,machine learning core",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Course Development,Europeana in your classroom: building 21st-century competences with digital cultural heritage,European Schoolnet Academy,Teodora Ioan,0,"
        ",16,"european culture,digital culture,digital classroom",Free Online Course,2018-06-11,Self Paced,English,"
              Certificate Available
            ",6-7 weeks long
Education & Teaching,STEM,Innovating Instruction: Learning Design in the STEM Classroom,"Teachers College, Columbia University",Ellen B. Meier,0,"
        ",96,"teaching,stem",Free Online Course (Audit),2018-07-11,Self Paced,English,,4 weeks long
Education & Teaching,Education & Teaching,Improvement Science in Education,University of Michigan,Donald J. Peurach and Anthony S. Bryk,0,"
        ",40,michiganx,Free Online Course (Audit),2018-06-27,Self Paced,English,"
              $199 Certificate Available
            ",8 weeks long
Education & Teaching,STEM,Introducción a las tecnologías para la Educación,Universitat Politècnica de València,"Linda Castañeda Quintero, Ignacio Despujol Zabala and Miguel Ferrando Bataller",4,"
        ",39,upvalenciax,Free Online Course (Audit),2018-06-19,Self Paced,Spanish,"
              $49 Certificate Available
            ",5 weeks long
Education & Teaching,STEM,Opening Minds to STEM Careers,European Schoolnet Academy,"Aikaterini Topalidou, Naír Carrera and Teodora Ioan",0,"
        ",36,"stem,career development",Free Online Course,2018-06-17,Self Paced,English,,8 weeks long
Computer Science,DevOps,Developing Scalable Apps in Java,Google,Jocelyn Becker and Magnus Hyttsten,1,"
        ",712,"progamming,java,cloud,google",Free Online Course,2014-06-25,Self Paced,English,,8 weeks long
Social Sciences,Anthropology,世界文化地理 | Cultural Geography of the World,Peking University,Deng Hui,0,"
        ",122,pekingx,Free Online Course (Audit),2013-09-23,Self Paced,Chinese,,4 weeks long
Social Sciences,Psychology,Success - Achieve Success with Emotional Intelligence,Taylor's University,Mushtak Al-Atabi and Jennifer DeBoer,4,"
        ",6922,"usa,north america",Free Online Course,2013-10-01,Self Paced,English,,15 weeks long
Social Sciences,Sociology,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,Ann Masten,1,"
        ",1874,"usa,north america",Free Online Course (Audit),2019-04-08,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Education & Teaching,Test Prep,AP® Psychology - Course 4: How Behavior Works,The University of British Columbia,Steven J. Barnes,0,"
        ",194,ubcx,Free Online Course (Audit),2017-08-25,Self Paced,English,"
              $49 Certificate Available
            ",6 weeks long
Education & Teaching,Test Prep,AP® Psychology - Course 0: Introduction,The University of British Columbia,Steven J. Barnes,0,"
        ",189,ubcx,Free Online Course (Audit),2017-08-25,Self Paced,English,,1 weeks long
Education & Teaching,Test Prep,AP® Psychology - Course 5: Health and Behavior,The University of British Columbia,Steven J. Barnes,0,"
        ",172,ubcx,Free Online Course (Audit),2017-08-25,Self Paced,English,"
              $49 Certificate Available
            ",4 weeks long
